# ****************************************************************************
# CUI
#
# The Advanced Framework for Simulation, Integration, and Modeling (AFSIM)
#
# The use, dissemination or disclosure of data in this file is subject to
# limitation or restriction. See accompanying README and LICENSE for details.
# ****************************************************************************
#Ground target launch data for RED_ICBM_1
#Generated on Thu Jan 21 11:38:16 2010
#loft_angle burn_time ground_range time_of_flight
72.1000 151.0000 1161896.96 525.9297
72.1000 151.5000 1168363.93 527.0749
72.1000 152.0000 1174873.77 528.2250
72.1000 152.5000 1181427.02 529.3801
72.1000 153.0000 1188103.01 530.5760
72.1000 153.5000 1194745.38 531.7415
72.1000 154.0000 1201441.20 532.9122
72.1000 154.5000 1208174.36 534.0883
72.1000 155.0000 1214962.14 535.2697
72.1000 155.5000 1221796.80 536.4567
72.1000 156.0000 1228670.61 537.6492
72.1000 156.5000 1235600.89 538.8474
72.1000 157.0000 1242588.29 540.0513
72.1000 157.5000 1249616.75 541.2612
72.1000 158.0000 1256695.30 542.4769
72.1000 158.5000 1263824.60 543.6987
72.1000 159.0000 1271013.71 544.9267
72.1000 159.5000 1278254.98 546.1609
72.1000 160.0000 1285549.11 547.4015
72.1000 160.5000 1292888.50 548.6485
72.1000 161.0000 1300298.96 549.9021
72.1000 161.5000 1307756.18 551.1624
72.1000 162.0000 1315269.29 552.4294
72.1000 162.5000 1322847.47 553.7034
72.1000 163.0000 1330474.77 554.9844
72.1000 163.5000 1338168.76 556.2725
72.1000 164.0000 1345921.94 557.5679
72.1000 164.5000 1353735.14 558.8707
72.1000 165.0000 1361609.26 560.1809
72.1000 165.5000 1369545.18 561.4989
72.1000 166.0000 1377552.22 562.8245
72.1000 166.5000 1385524.10 564.1175
72.1000 167.0000 1393658.56 565.4589
72.1000 167.5000 1401858.61 566.8085
72.1000 168.0000 1410125.26 568.1665
72.1000 168.5000 1418459.51 569.5329
72.1000 169.0000 1426870.80 570.9079
72.1000 169.5000 1435343.43 572.2917
72.1000 170.0000 1443895.26 573.6844
72.1000 170.5000 1452519.00 575.0863
72.1000 171.0000 1461215.82 576.4974
72.1000 171.5000 1469995.25 577.9179
72.1000 172.0000 1478841.71 579.3479
72.1000 172.5000 1487773.20 580.7878
72.1000 173.0000 1496782.57 582.2376
72.1000 173.5000 1505871.11 583.6975
72.1000 174.0000 1515048.51 585.1678
72.1000 174.5000 1524299.31 586.6486
72.1000 175.0000 1533641.68 588.1400
72.1000 175.5000 1543068.62 589.6424
72.1000 176.0000 1552589.95 591.1559
72.1000 176.5000 1562190.37 592.6807
72.1000 177.0000 1571888.15 594.2170
72.1000 177.5000 1581676.45 595.7651
72.1000 178.0000 1591556.83 597.3251
72.1000 178.5000 1601530.93 598.8974
72.1000 179.0000 1611608.79 600.4822
72.1000 179.5000 1621783.71 602.0796
72.1000 180.0000 1632057.42 603.6900
72.1000 180.5000 1642567.68 605.3608
72.1000 181.0000 1653045.64 606.9981
72.1000 181.5000 1663636.30 608.6492
72.1000 182.0000 1674341.59 610.3142
72.1000 182.5000 1685146.70 611.9936
72.1000 183.0000 1696070.45 613.6875
72.1000 183.5000 1707106.52 615.3963
72.1000 184.0000 1718265.45 617.1204
72.1000 184.5000 1729541.02 618.8599
72.1000 185.0000 1740935.51 620.6152
72.1000 185.5000 1752451.22 622.3868
72.1000 186.0000 1764098.91 624.1748
72.1000 186.5000 1775872.65 625.9797
72.1000 187.0000 1787783.32 627.8018
72.1000 187.5000 1799816.74 629.6414
72.1000 188.0000 1811992.34 631.4991
72.1000 188.5000 1824312.82 633.3751
72.1000 189.0000 1836772.63 635.2699
72.1000 189.5000 1849374.64 637.1838
72.1000 190.0000 1862130.21 639.1173
72.1000 190.5000 1875034.01 641.0709
72.1000 191.0000 1888089.20 643.0450
72.1000 191.5000 1901307.38 645.0401
72.1000 192.0000 1914691.89 647.0566
72.1000 192.5000 1928229.43 649.0950
72.1000 193.0000 1941948.64 651.1559
72.1000 193.5000 1955828.08 653.2397
72.1000 194.0000 1969888.23 655.3471
72.1000 194.5000 1984132.99 657.4786
72.1000 195.0000 1998557.97 659.6347
72.1000 195.5000 2013175.67 661.8160
72.1000 196.0000 2027982.00 664.0232
72.1000 196.5000 2042989.69 666.2569
72.1000 197.0000 2058194.94 668.5178
72.1000 197.5000 2073610.79 670.8065
72.1000 198.0000 2089233.72 673.1237
72.1000 198.5000 2105077.09 675.4702
72.1000 199.0000 2121137.71 677.8466
72.1000 199.5000 2137437.61 680.2539
72.1000 200.0000 2153957.31 682.6927
72.1000 200.5000 2170727.53 685.1639
72.1000 201.0000 2187737.51 687.6683
72.1000 201.5000 2205001.70 690.2069
72.1000 202.0000 2222518.12 692.7806
72.1000 202.5000 2240301.66 695.3903
72.1000 203.0000 2258359.11 698.0369
72.1000 203.5000 2276697.52 700.7216
72.1000 204.0000 2295315.88 703.4454
72.1000 204.5000 2314238.40 706.2094
72.1000 205.0000 2333456.32 709.0146
72.1000 205.5000 2352761.84 711.7967
72.1000 206.0000 2372609.37 714.6877
72.1000 206.5000 2392785.97 717.6238
72.1000 207.0000 2413300.77 720.6062
72.1000 207.5000 2434154.98 723.6363
72.1000 208.0000 2455375.05 726.7156
72.1000 208.5000 2476954.66 729.8456
72.1000 209.0000 2498921.07 733.0278
72.1000 209.5000 2521277.10 736.2639
72.1000 210.0000 2544034.33 739.5555
72.1000 210.5000 2567204.83 742.9044
72.1000 211.0000 2590801.16 746.3125
72.1000 211.5000 2614836.43 749.7816
72.1000 212.0000 2639332.57 753.3138
72.1000 212.5000 2664295.58 756.9112
